input,subject,subject_type,data/object,relation,object,object_type
第7章语义搜索王昊奋上海乐言信息科技有限公司，王萌东南大学知识图谱能够赋予信息明确的结构和语义，使机器不仅可以直观地显示这些信息，更能够理解、处理和整合它们。,知识图谱,知识图谱,data,特点,能够赋予信息明确的结构和语义，使机器不仅可以直观地显示这些信息，更能够理解、处理和整合它们,描述
第7章语义搜索王昊奋上海乐言信息科技有限公司，王萌东南大学知识图谱能够赋予信息明确的结构和语义，使机器不仅可以直观地显示这些信息，更能够理解、处理和整合它们。,知识图谱,知识图谱,object,实现,语义搜索,语义搜索
近年来，随着链接开放数据LOD（Linked_Open_Data）、OpenKG等项目的全面展开，知识图谱数据源的数量激增，大量以RDF为数据模型的图结构语义数据被发布，如DBpedia[1]、Wikidata[2]、zhishi.me[3]等。,链接开放数据LOD,链接,data,英文名,Linked_Open_Data,链接
近年来，随着链接开放数据LOD（Linked_Open_Data）、OpenKG等项目的全面展开，知识图谱数据源的数量激增，大量以RDF为数据模型的图结构语义数据被发布，如DBpedia[1]、Wikidata[2]、zhishi.me[3]等。,OpenKG,知识图谱项目,data,内容,项目的全面展开,描述
近年来，随着链接开放数据LOD（Linked_Open_Data）、OpenKG等项目的全面展开，知识图谱数据源的数量激增，大量以RDF为数据模型的图结构语义数据被发布，如DBpedia[1]、Wikidata[2]、zhishi.me[3]等。,知识图谱,知识图谱,data,内容,数据源的数量激增,描述
近年来，随着链接开放数据LOD（Linked_Open_Data）、OpenKG等项目的全面展开，知识图谱数据源的数量激增，大量以RDF为数据模型的图结构语义数据被发布，如DBpedia[1]、Wikidata[2]、zhishi.me[3]等。,RDF,知识表示,data,内容,数据模型,描述
近年来，随着链接开放数据LOD（Linked_Open_Data）、OpenKG等项目的全面展开，知识图谱数据源的数量激增，大量以RDF为数据模型的图结构语义数据被发布，如DBpedia[1]、Wikidata[2]、zhishi.me[3]等。,图结构语义数据,知识表示,data,内容,被发布,描述
近年来，随着链接开放数据LOD（Linked_Open_Data）、OpenKG等项目的全面展开，知识图谱数据源的数量激增，大量以RDF为数据模型的图结构语义数据被发布，如DBpedia[1]、Wikidata[2]、zhishi.me[3]等。,DBpedia,知识图谱项目,data,内容,以RDF为数据模型的图结构语义数据,描述
近年来，随着链接开放数据LOD（Linked_Open_Data）、OpenKG等项目的全面展开，知识图谱数据源的数量激增，大量以RDF为数据模型的图结构语义数据被发布，如DBpedia[1]、Wikidata[2]、zhishi.me[3]等。,Wikidata,知识图谱项目,data,内容,以RDF为数据模型的图结构语义数据,描述
近年来，随着链接开放数据LOD（Linked_Open_Data）、OpenKG等项目的全面展开，知识图谱数据源的数量激增，大量以RDF为数据模型的图结构语义数据被发布，如DBpedia[1]、Wikidata[2]、zhishi.me[3]等。,zhishi.me,知识图谱项目,data,内容,以RDF为数据模型的图结构语义数据,描述
互联网从仅包含网页和网页之间超链接的文档万维网逐渐转变成包含大量描述各种实体和实体之间丰富关系的语义万维网。,语义万维网,知识表示,data,特点,包含大量描述各种实体和实体之间丰富关系,描述
互联网从仅包含网页和网页之间超链接的文档万维网逐渐转变成包含大量描述各种实体和实体之间丰富关系的语义万维网。,语义万维网,知识表示,object,包含,实体,知识表示
互联网从仅包含网页和网页之间超链接的文档万维网逐渐转变成包含大量描述各种实体和实体之间丰富关系的语义万维网。,语义万维网,知识表示,object,包含,实体之间丰富关系,知识表示
互联网从仅包含网页和网页之间超链接的文档万维网逐渐转变成包含大量描述各种实体和实体之间丰富关系的语义万维网。,文档万维网,知识表示,object,发展为,语义万维网,知识表示
在这种背景下，以谷歌为代表的各大搜索引擎公司纷纷构建知识图谱来改善搜索质量，从而拉开了语义搜索的序幕。,知识图谱,知识图谱,data,作用,改善搜索质量,功能描述
在这种背景下，以谷歌为代表的各大搜索引擎公司纷纷构建知识图谱来改善搜索质量，从而拉开了语义搜索的序幕。,知识图谱,知识图谱,object,实现,语义搜索,语义搜索
与传统互联网中的文档检索不同，语义搜索需要处理粒度更细的结构化语义数据，因此也面临着前所未有的挑战[4]。,语义搜索,语义搜索,data,特点,需要处理粒度更细的结构化语义数据,描述
原有成熟的针对非结构化的、Web文档的存储与索引技术对知识图谱不再适用。,存储与索引技术,知识存储,data,缺点,对知识图谱不再适用,描述
现有的排序算法也不能直接应用到面向实体和关系的知识图谱语义搜索中。,排序算法,算法,data,缺点,不能直接应用到面向实体和关系的知识图谱语义搜索中,描述
以SPARQL查询为代表的结构化查询语言的出现，为支持知识图谱的语义搜索提供了基础。,SPARQL查询,语义搜索,data,作用,为支持知识图谱的语义搜索提供了基础,描述
以SPARQL查询为代表的结构化查询语言的出现，为支持知识图谱的语义搜索提供了基础。,SPARQL查询,语义搜索,object,实例,结构化查询语言,语义搜索
以SPARQL查询为代表的结构化查询语言的出现，为支持知识图谱的语义搜索提供了基础。,结构化查询语言,语义搜索,data,作用,为支持知识图谱的语义搜索提供了基础,描述
本章旨在全面系统地介绍以RDF为数据模型的知识图谱语义搜索基础技术以及面临的挑战。,知识图谱,知识图谱,data,内容,语义搜索基础技术以及面临的挑战,技术描述
本章旨在全面系统地介绍以RDF为数据模型的知识图谱语义搜索基础技术以及面临的挑战。,语义搜索,语义搜索,data,内容,基础技术以及面临的挑战,技术描述
本章旨在全面系统地介绍以RDF为数据模型的知识图谱语义搜索基础技术以及面临的挑战。,本章,文本章节,data,目标,全面系统地介绍以RDF为数据模型的知识图谱语义搜索基础技术以及面临的挑战,描述
7.1语义搜索简介搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动[1]。,语义搜索,语义搜索,data,内容,搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动,描述
7.1语义搜索简介搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动[1]。,信息检索,语义搜索,data,英文名,Information_Retrieval,英文名
7.1语义搜索简介搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动[1]。,信息检索,语义搜索,data,内容,搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动,描述
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,面向数据的检索,语义搜索,data,方法,基于数据库的检索和基于知识库的检索,方法
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,面向数据的检索,语义搜索,data,特点,能够提供更精确的答案,描述
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,面向数据的检索,语义搜索,object,包含,知识库的检索,语义搜索
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,知识库的检索,语义搜索,data,方法,基于知识库的检索,方法
面向文档和面向数据两种模式间的技术差异大致可以分为三个部分，即对用户需求的(Query_Model）、对底层数据的表示（Data_model)和匹配技术（Matching_Technique）。,Query_Model,知识表示,data,内容,对用户需求的,描述
面向文档和面向数据两种模式间的技术差异大致可以分为三个部分，即对用户需求的(Query_Model）、对底层数据的表示（Data_model)和匹配技术（Matching_Technique）。,Data_model,知识表示,data,内容,对底层数据的表示,描述
面向文档和面向数据两种模式间的技术差异大致可以分为三个部分，即对用户需求的(Query_Model）、对底层数据的表示（Data_model)和匹配技术（Matching_Technique）。,Matching_Technique,知识抽取,data,内容,匹配技术,描述
面向文档和面向数据两种模式间的技术差异大致可以分为三个部分，即对用户需求的(Query_Model）、对底层数据的表示（Data_model)和匹配技术（Matching_Technique）。,面向文档和面向数据两种模式间的技术差异,知识工程,object,包含,Query_Model,知识表示
面向文档和面向数据两种模式间的技术差异大致可以分为三个部分，即对用户需求的(Query_Model）、对底层数据的表示（Data_model)和匹配技术（Matching_Technique）。,面向文档和面向数据两种模式间的技术差异,知识工程,object,包含,Data_model,知识表示
面向文档和面向数据两种模式间的技术差异大致可以分为三个部分，即对用户需求的(Query_Model）、对底层数据的表示（Data_model)和匹配技术（Matching_Technique）。,面向文档和面向数据两种模式间的技术差异,知识工程,object,包含,Matching_Technique,知识抽取
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,Lightweight_Syntax-Centric_Model,知识表示,data,内容,表示用户的检索需求和资源的内容,描述
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,Lightweight_Syntax-Centric_Model,知识表示,data,英文名,Lightweight_Syntax-Centric_Model,知识表示
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,Lightweight_Syntax-Centric_Model,知识表示,data,特点,目前占主导地位的关键词模式——词袋模型（Bag-of-Words）,描述
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,词袋模型,知识表示,data,内容,目前占主导地位的关键词模式,描述
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,词袋模型,知识表示,data,英文名,Bag-of-Words,知识表示
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,Bag-of-Words,知识表示,data,内容,目前占主导地位的关键词模式,描述
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,信息检索,语义搜索,data,方法,轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）,知识表示
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,语法模型,知识表示,object,包含,Lightweight_Syntax-Centric_Model,知识表示
相比来说，基于数据库Model）和匹配技术（Matching和基于知识库的检索系统能够通过使用表达能力更强的模型来表示用户的需求，并且利用数据内在的结构和语义关联，允许更为复杂的查询，进而提供更加精确和具体的答案。,知识库,知识存储,data,作用,通过使用表达能力更强的模型来表示用户的需求，并且利用数据内在的结构和语义关联，允许更为复杂的查询，进而提供更加精确和具体的答案,功能描述
相比来说，基于数据库Model）和匹配技术（Matching和基于知识库的检索系统能够通过使用表达能力更强的模型来表示用户的需求，并且利用数据内在的结构和语义关联，允许更为复杂的查询，进而提供更加精确和具体的答案。,检索系统,语义搜索,data,作用,通过使用表达能力更强的模型来表示用户的需求，并且利用数据内在的结构和语义关联，允许更为复杂的查询，进而提供更加精确和具体的答案,功能描述
语义关注的是能用于搜索的资源的含义。,语义,知识表示,data,内容,能用于搜索的资源的含义,描述
这些含义是通过语义模型构建的，例如语言学模型和概念模型。,语义模型,知识表示,data,内容,语言学模型和概念模型,知识表示
这些含义是通过语义模型构建的，例如语言学模型和概念模型。,语言学模型,知识表示,object,实例,语义模型,知识表示
这些含义是通过语义模型构建的，例如语言学模型和概念模型。,概念模型,知识表示,object,实例,语义模型,知识表示
